07/08/2025 14:15:39 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 035', 'id_unidade': '29709', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:51', 'id_recebimento_recb': '236755', 'st_documento_recb': '009/00006884712', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '1000.00', 'st_label_recb': 'INADIMPLENTE'}
07/08/2025 14:15:41 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 036', 'id_unidade': '29710', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:51', 'id_recebimento_recb': '236753', 'st_documento_recb': '009/00006884713', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '900.00', 'st_label_recb': 'INADIMPLENTE'}
07/08/2025 14:15:43 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 048', 'id_unidade': '29712', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:54', 'id_recebimento_recb': '236759', 'st_documento_recb': '009/00006884714', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '900.00', 'st_label_recb': 'INADIMPLENTE'}
07/08/2025 14:15:45 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 059', 'id_unidade': '29713', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:57', 'id_recebimento_recb': '236763', 'st_documento_recb': '009/00006884715', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '900.00', 'st_label_recb': 'INADIMPLENTE'}
07/08/2025 14:15:47 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 060', 'id_unidade': '29711', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:48', 'id_recebimento_recb': '236749', 'st_documento_recb': '009/00006884716', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '914.99', 'st_label_recb': 'INADIMPLENTE'}
07/08/2025 14:15:49 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 071', 'id_unidade': '29716', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:48', 'id_recebimento_recb': '236751', 'st_documento_recb': '009/00006884717', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '914.99', 'st_label_recb': 'INADIMPLENTE'}
07/08/2025 14:15:50 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 072', 'id_unidade': '29715', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:48', 'id_recebimento_recb': '236748', 'st_documento_recb': '009/00006884718', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '900.00', 'st_label_recb': 'INADIMPLENTE'}
07/08/2025 14:15:52 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 083', 'id_unidade': '29714', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:48', 'id_recebimento_recb': '236750', 'st_documento_recb': '009/00006884719', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '900.00', 'st_label_recb': 'INADIMPLENTE'}
07/08/2025 14:15:54 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 084', 'id_unidade': '29718', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:51', 'id_recebimento_recb': '236754', 'st_documento_recb': '009/00006884720', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '936.00', 'st_label_recb': 'INADIMPLENTE'}
07/08/2025 14:15:56 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 095', 'id_unidade': '29717', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:51', 'id_recebimento_recb': '236752', 'st_documento_recb': '009/00006884721', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '900.00', 'st_label_recb': 'INADIMPLENTE'}
07/08/2025 14:15:58 |   6304 | INFO     | processar_condominio           | {'condominio': 386, 'unidade': 'CR 096', 'id_unidade': '29723', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '08/05/2025 19:31:54', 'id_recebimento_recb': '236761', 'st_documento_recb': '009/00006884722', 'dt_vencimento_recb': '08/05/2025 00:00:00', 'vl_total_recb': '900.00', 'st_label_recb': 'INADIMPLENTE'}
