15/07/2025 14:52:24 |  28644 | ERROR    | get_codigo_from_enderecos      | [{'endereco': '', 'bairro': '0000', 'cep': '00000000', 'cidade': '0000000000000000000000000', 'uf': '00'}, {'endereco': 'AV PEREGRINO JUNIOR  180 APTO', 'bairro': '502 BL 01 BARR', 'cep': 'A DA TIJ', 'cidade': 'UCA22631460RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA BARAO  450 BL. 5 APTO. 40', 'bairro': '1          PRAC', 'cep': 'A SECA', 'cidade': '21321620RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA ALBANO  244 AP. 205 BL- I', 'bairro': 'PRAC', 'cep': 'A SECA', 'cidade': '22733010RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'AV PEREGRINO JUNIOR  180 APTO', 'bairro': '502 BL 01 BARR', 'cep': 'A DA TIJ', 'cidade': 'UCA22631460RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA ANGELITA  19   LT 16', 'bairro': 'JARD', 'cep': 'IM PRIMA', 'cidade': 'VER25223590DUQUE DE CAXIA', 'uf': 'SR'}, {'endereco': 'RUA SIRACUSA, 179  AP 304', 'bairro': 'IRAJ', 'cep': 'A', 'cidade': '21361460RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA RACHEL DE QUEIROZ  100 LO', 'bairro': 'TE 52 QD 07BARR', 'cep': 'A DA TIJ', 'cidade': 'UCA22793100RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA SIRACUSA, 179  AP 304', 'bairro': 'IRAJ', 'cep': 'A', 'cidade': '21361460RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA RACHEL DE QUEIROZ  100 LO', 'bairro': 'TE 52 QD 07BARR', 'cep': 'A DA TIJ', 'cidade': 'UCA22793100RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA ALCINDO GUANABARA  17 GRU', 'bairro': 'PO 1204    CENT', 'cep': 'RO', 'cidade': '20031130RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA ALCINDO GUANABARA  17 GRU', 'bairro': 'PO 1204    CENT', 'cep': 'RO', 'cidade': '20031130RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA MEXICO  111   701 E 702', 'bairro': 'CENT', 'cep': 'RO', 'cidade': '20031143RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA MEXICO  111   701 E 702', 'bairro': 'CENT', 'cep': 'RO', 'cidade': '20031143RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA MEXICO  111   701 E 702', 'bairro': 'CENT', 'cep': 'RO', 'cidade': '20031143RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA MEXICO  111   701 E 702', 'bairro': 'CENT', 'cep': 'RO', 'cidade': '20031143RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA MEXICO  111   701 E 702', 'bairro': 'CENT', 'cep': 'RO', 'cidade': '20031143RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA MEXICO  111   701 E 702', 'bairro': 'CENT', 'cep': 'RO', 'cidade': '20031143RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA MEXICO  111   701 E 702', 'bairro': 'CENT', 'cep': 'RO', 'cidade': '20031143RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'PRACA OLAVO BILAC 28   SALA 1', 'bairro': '608        CENT', 'cep': 'RO', 'cidade': '20049900RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'PRACA OLAVO BILAC 28   SALA 1', 'bairro': '608        CENT', 'cep': 'RO', 'cidade': '20049900RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'PRACA OLAVO BILAC 28   SALA 1', 'bairro': '608        CENT', 'cep': 'RO', 'cidade': '20049900RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA SENADOR DANTAS  117 SALA', 'bairro': '439        CENT', 'cep': 'RO', 'cidade': '20031204RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA MACIEL MONTEIRO, 77  B 13', 'bairro': 'APTO 303  ILHA', 'cep': 'DO GOVE', 'cidade': 'RNA21951550RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA MACIEL MONTEIRO, 77  B 13', 'bairro': 'APTO 303  ILHA', 'cep': 'DO GOVE', 'cidade': 'RNA21951550RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA JAVARI  390', 'bairro': 'TABO', 'cep': 'AO', 'cidade': '09932210DIADEMA', 'uf': 'S'}, {'endereco': 'RUA MARIZ E BARROS  N  24 APT', 'bairro': 'O 501      ICAR', 'cep': 'AI', 'cidade': '24220121NITEROI', 'uf': 'R'}, {'endereco': 'RUA TIROL  391 APTO 306', 'bairro': 'FREG', 'cep': 'UESIA', 'cidade': '22750008RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA ALBANO  244 AP. 307 BL- I', 'bairro': 'I          PRAC', 'cep': 'A SECA', 'cidade': '22733010RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'PINHAL  150', 'bairro': 'MARE', 'cep': 'CHAL HER', 'cidade': 'MES21557030RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA ALBANO  244 AP. 307 BL- I', 'bairro': 'I          PRAC', 'cep': 'A SECA', 'cidade': '22733010RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'AV. RICARDO MARINHO  450 APTO', 'bairro': '. 201      BARR', 'cep': 'A DA TIJ', 'cidade': 'UCA22631350RIO DE JANEIRO', 'uf': 'R'}]
15/07/2025 14:54:17 |  28644 | INFO     | main                           | {'condominio': 1028, 'unidade': 'CASA 0047', 'id_unidade': '25886', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/03/2025 13:32:41', 'id_recebimento_recb': '190316', 'st_documento_recb': '000/06845328', 'dt_vencimento_recb': '07/15/2025 00:00:00', 'vl_total_recb': '459.89', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 14:59:19 |  28644 | INFO     | main                           | {'condominio': 1038, 'unidade': 'AP 0210', 'id_unidade': '26108', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/03/2025 13:36:59', 'id_recebimento_recb': '190680', 'st_documento_recb': '000/06807473', 'dt_vencimento_recb': '07/11/2025 00:00:00', 'vl_total_recb': '4040.84', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 15:04:15 |  28644 | INFO     | main                           | {'condominio': 23, 'unidade': '0110', 'id_unidade': '21446', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/03/2025 01:32:12', 'id_recebimento_recb': '154856', 'st_documento_recb': '000/06510802', 'dt_vencimento_recb': '07/10/2025 00:00:00', 'vl_total_recb': '229.43', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 15:31:15 |  28644 | INFO     | main                           | {'condominio': 107, 'unidade': '0204', 'id_unidade': '21609', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/03/2025 01:35:07', 'id_recebimento_recb': '155206', 'st_documento_recb': '000/06838209', 'dt_vencimento_recb': '07/15/2025 00:00:00', 'vl_total_recb': '199.11', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 15:33:09 |  28644 | INFO     | main                           | {'condominio': 627, 'unidade': '030 C101', 'id_unidade': '22903', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/03/2025 02:50:25', 'id_recebimento_recb': '162840', 'st_documento_recb': '000/06693972', 'dt_vencimento_recb': '07/08/2025 00:00:00', 'vl_total_recb': '478.00', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 15:46:19 |  28644 | INFO     | main                           | {'condominio': 665, 'unidade': 'AP 0908', 'id_unidade': '23082', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/09/2025 15:33:31', 'id_recebimento_recb': '197924', 'st_documento_recb': '109/00197924', 'dt_vencimento_recb': '07/15/2025 00:00:00', 'vl_total_recb': '1563.78', 'st_label_recb': 'ACORDO'}
15/07/2025 16:08:43 |  28644 | INFO     | main                           | {'condominio': 736, 'unidade': 'AP 0402', 'id_unidade': '23920', 'fl_status_recb': '0', 'fl_remessastatus_recb': '0', 'dt_geracao_recb': '07/03/2025 03:25:21', 'id_recebimento_recb': '165724', 'st_documento_recb': '000/06794572', 'dt_vencimento_recb': '07/05/2025 00:00:00', 'vl_total_recb': '497.10', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 16:24:40 |  28644 | INFO     | main                           | {'condominio': 1283, 'unidade': 'CÓD 0600', 'id_unidade': '27700', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/03/2025 06:18:51', 'id_recebimento_recb': '177405', 'st_documento_recb': '000/06861837', 'dt_vencimento_recb': '07/10/2025 00:00:00', 'vl_total_recb': '432.77', 'st_label_recb': 'INADIMPLENTE'}
15/07/2025 16:32:04 |  28644 | INFO     | main                           | {'condominio': 797, 'unidade': 'AP 0102', 'id_unidade': '24239', 'fl_status_recb': '0', 'fl_remessastatus_recb': '2', 'dt_geracao_recb': '07/03/2025 12:49:39', 'id_recebimento_recb': '186280', 'st_documento_recb': '000/06609285', 'dt_vencimento_recb': '07/10/2025 00:00:00', 'vl_total_recb': '750.83', 'st_label_recb': 'INADIMPLENTE'}
