04/07/2025 11:45:32 |  31704 | INFO     | get_all_condominios            | Iniciando busca de todos os condomínios
04/07/2025 11:45:33 |  31704 | INFO     | get_all_condominios            | Página 1 processada. 50 condomínios encontrados.
04/07/2025 11:45:34 |  31704 | INFO     | get_all_condominios            | Página 2 processada. 50 condomínios encontrados.
04/07/2025 11:45:34 |  31704 | INFO     | get_all_condominios            | Página 3 processada. 50 condomínios encontrados.
04/07/2025 11:45:35 |  31704 | INFO     | get_all_condominios            | Página 4 processada. 50 condomínios encontrados.
04/07/2025 11:45:35 |  31704 | INFO     | get_all_condominios            | Página 5 processada. 50 condomínios encontrados.
04/07/2025 11:45:36 |  31704 | INFO     | get_all_condominios            | Página 6 processada. 50 condomínios encontrados.
04/07/2025 11:45:36 |  31704 | INFO     | get_all_condominios            | Página 7 processada. 50 condomínios encontrados.
04/07/2025 11:45:37 |  31704 | INFO     | get_all_condominios            | Página 8 processada. 50 condomínios encontrados.
04/07/2025 11:45:37 |  31704 | INFO     | get_all_condominios            | Página 9 processada. 50 condomínios encontrados.
04/07/2025 11:45:38 |  31704 | INFO     | get_all_condominios            | Página 10 processada. 50 condomínios encontrados.
04/07/2025 11:45:38 |  31704 | INFO     | get_all_condominios            | Página 11 processada. 50 condomínios encontrados.
04/07/2025 11:45:39 |  31704 | INFO     | get_all_condominios            | Página 12 processada. 50 condomínios encontrados.
04/07/2025 11:45:39 |  31704 | INFO     | get_all_condominios            | Página 13 processada. 50 condomínios encontrados.
04/07/2025 11:45:40 |  31704 | INFO     | get_all_condominios            | Página 14 processada. 10 condomínios encontrados.
04/07/2025 11:45:40 |  31704 | INFO     | get_all_condominios            | Busca de condomínios concluída. Total de 660 condomínios.
04/07/2025 11:45:40 |  31704 | INFO     | main                           | Iniciando a verificação de documentos para todos os condomínios
04/07/2025 11:49:23 |  17616 | INFO     | get_all_condominios            | Iniciando busca de todos os condomínios
04/07/2025 11:49:24 |  17616 | INFO     | get_all_condominios            | Página 1 processada. 50 condomínios encontrados.
04/07/2025 11:49:25 |  17616 | INFO     | get_all_condominios            | Página 2 processada. 50 condomínios encontrados.
04/07/2025 11:49:25 |  17616 | INFO     | get_all_condominios            | Página 3 processada. 50 condomínios encontrados.
04/07/2025 11:49:26 |  17616 | INFO     | get_all_condominios            | Página 4 processada. 50 condomínios encontrados.
04/07/2025 11:49:26 |  17616 | INFO     | get_all_condominios            | Página 5 processada. 50 condomínios encontrados.
04/07/2025 11:49:27 |  17616 | INFO     | get_all_condominios            | Página 6 processada. 50 condomínios encontrados.
04/07/2025 11:49:27 |  17616 | INFO     | get_all_condominios            | Página 7 processada. 50 condomínios encontrados.
