14/03/2025 10:41:31 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:41:31 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1092
14/03/2025 10:41:51 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:41:51 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1083
14/03/2025 10:42:10 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:42:10 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1093
14/03/2025 10:42:29 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:42:29 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1084
14/03/2025 10:43:07 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:43:07 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1085
14/03/2025 10:43:33 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:43:33 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1101
14/03/2025 10:44:14 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:44:14 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1175
14/03/2025 10:44:41 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:44:41 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1165
14/03/2025 10:45:41 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:45:41 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1236
14/03/2025 10:45:53 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:45:53 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1233
14/03/2025 10:46:04 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:46:04 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1221
14/03/2025 10:46:41 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:46:41 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1197
14/03/2025 10:47:11 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
14/03/2025 10:47:11 |  19084 | INFO     | main                           | Estou passando pelo condominio : 1172
14/03/2025 10:47:48 |  19084 | INFO     | main                           | Estou Acabei de passsar o condominio, indo para o 
