10/07/2025 14:28:30 |  18812 | INFO     | get_all_condominios            | Iniciando busca de todos os condomínios
10/07/2025 14:28:31 |  18812 | INFO     | get_all_condominios            | Página 1 processada. 50 condomínios encontrados.
10/07/2025 14:28:31 |  18812 | INFO     | get_all_condominios            | Página 2 processada. 50 condomínios encontrados.
10/07/2025 14:28:32 |  18812 | INFO     | get_all_condominios            | Página 3 processada. 50 condomínios encontrados.
10/07/2025 14:28:32 |  18812 | INFO     | get_all_condominios            | Página 4 processada. 50 condomínios encontrados.
10/07/2025 14:28:33 |  18812 | INFO     | get_all_condominios            | Página 5 processada. 50 condomínios encontrados.
10/07/2025 14:28:34 |  18812 | INFO     | get_all_condominios            | Página 6 processada. 50 condomínios encontrados.
10/07/2025 14:28:34 |  18812 | INFO     | get_all_condominios            | Página 7 processada. 50 condomínios encontrados.
10/07/2025 14:28:35 |  18812 | INFO     | get_all_condominios            | Página 8 processada. 50 condomínios encontrados.
10/07/2025 14:28:36 |  18812 | INFO     | get_all_condominios            | Página 9 processada. 50 condomínios encontrados.
10/07/2025 14:28:36 |  18812 | INFO     | get_all_condominios            | Página 10 processada. 50 condomínios encontrados.
10/07/2025 14:28:37 |  18812 | INFO     | get_all_condominios            | Página 11 processada. 50 condomínios encontrados.
10/07/2025 14:28:37 |  18812 | INFO     | get_all_condominios            | Página 12 processada. 50 condomínios encontrados.
10/07/2025 14:28:38 |  18812 | INFO     | get_all_condominios            | Página 13 processada. 50 condomínios encontrados.
10/07/2025 14:28:38 |  18812 | INFO     | get_all_condominios            | Página 14 processada. 10 condomínios encontrados.
10/07/2025 14:28:38 |  18812 | INFO     | get_all_condominios            | Busca de condomínios concluída. Total de 660 condomínios.
10/07/2025 14:28:38 |  18812 | INFO     | main                           | Iniciando a verificação de documentos para todos os condomínios
