18/03/2025 09:36:20 |  12900 | INFO     | get_all_condominios            | Iniciando busca de todos os condomínios
18/03/2025 09:36:21 |  12900 | INFO     | get_all_condominios            | Página 1 processada. 50 condomínios encontrados.
18/03/2025 09:36:22 |  12900 | INFO     | get_all_condominios            | Página 2 processada. 50 condomínios encontrados.
18/03/2025 09:36:23 |  12900 | INFO     | get_all_condominios            | Página 3 processada. 50 condomínios encontrados.
18/03/2025 09:36:23 |  12900 | INFO     | get_all_condominios            | Página 4 processada. 50 condomínios encontrados.
18/03/2025 09:36:24 |  12900 | INFO     | get_all_condominios            | Página 5 processada. 50 condomínios encontrados.
18/03/2025 09:36:24 |  12900 | INFO     | get_all_condominios            | Página 6 processada. 50 condomínios encontrados.
18/03/2025 09:36:25 |  12900 | INFO     | get_all_condominios            | Página 7 processada. 25 condomínios encontrados.
18/03/2025 09:36:25 |  12900 | INFO     | get_all_condominios            | Busca de condomínios concluída. Total de 325 condomínios.
18/03/2025 09:36:25 |  12900 | INFO     | main                           | Iniciando a verificação de documentos para todos os condomínios
18/03/2025 09:43:35 |  11632 | INFO     | get_all_condominios            | Iniciando busca de todos os condomínios
18/03/2025 09:43:36 |  11632 | INFO     | get_all_condominios            | Página 1 processada. 50 condomínios encontrados.
18/03/2025 09:43:37 |  11632 | INFO     | get_all_condominios            | Página 2 processada. 50 condomínios encontrados.
18/03/2025 09:43:37 |  11632 | INFO     | get_all_condominios            | Página 3 processada. 50 condomínios encontrados.
18/03/2025 09:43:38 |  11632 | INFO     | get_all_condominios            | Página 4 processada. 50 condomínios encontrados.
18/03/2025 09:43:39 |  11632 | INFO     | get_all_condominios            | Página 5 processada. 50 condomínios encontrados.
18/03/2025 09:43:40 |  11632 | INFO     | get_all_condominios            | Página 6 processada. 50 condomínios encontrados.
18/03/2025 09:43:40 |  11632 | INFO     | get_all_condominios            | Página 7 processada. 25 condomínios encontrados.
18/03/2025 09:43:40 |  11632 | INFO     | get_all_condominios            | Busca de condomínios concluída. Total de 325 condomínios.
18/03/2025 09:43:40 |  11632 | INFO     | main                           | Iniciando a verificação de documentos para todos os condomínios
